SearchBayesianSkopt: Resuming 'RP3betaRecommender' Failed, no such file exists.
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 525, 'alpha': 0.14000967531465427, 'beta': 1.3122311422119062, 'normalize_similarity': False} - results: PRECISION: 0.0045675, PRECISION_RECALL_MIN_DEN: 0.0059413, RECALL: 0.0048856, MAP: 0.0017836, MAP_MIN_DEN: 0.0023624, MRR: 0.0141649, NDCG: 0.0051821, F1: 0.0047212, HIT_RATE: 0.0370487, ARHR_ALL_HITS: 0.0158277, NOVELTY: 0.0065183, AVERAGE_POPULARITY: 0.0031033, DIVERSITY_MEAN_INTER_LIST: 0.9807590, DIVERSITY_HERFINDAHL: 0.9980735, COVERAGE_ITEM: 0.4330599, COVERAGE_ITEM_HIT: 0.0330110, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0367292, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.0755132, SHANNON_ENTROPY: 10.8420449, RATIO_DIVERSITY_HERFINDAHL: 0.9983808, RATIO_DIVERSITY_GINI: 0.1434696, RATIO_SHANNON_ENTROPY: 0.7997031, RATIO_AVERAGE_POPULARITY: 0.0640143, RATIO_NOVELTY: 0.3977422, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 825, 'alpha': 0.6864966621990941, 'beta': 1.9676661671643936, 'normalize_similarity': True} - results: PRECISION: 0.0006785, PRECISION_RECALL_MIN_DEN: 0.0008216, RECALL: 0.0005824, MAP: 0.0002260, MAP_MIN_DEN: 0.0002717, MRR: 0.0018634, NDCG: 0.0006198, F1: 0.0006268, HIT_RATE: 0.0058154, ARHR_ALL_HITS: 0.0020381, NOVELTY: 0.0066416, AVERAGE_POPULARITY: 0.0021964, DIVERSITY_MEAN_INTER_LIST: 0.9823056, DIVERSITY_HERFINDAHL: 0.9982282, COVERAGE_ITEM: 0.3286000, COVERAGE_ITEM_HIT: 0.0086914, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0057652, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.0556261, SHANNON_ENTROPY: 10.5343320, RATIO_DIVERSITY_HERFINDAHL: 0.9985355, RATIO_DIVERSITY_GINI: 0.1056855, RATIO_SHANNON_ENTROPY: 0.7770063, RATIO_AVERAGE_POPULARITY: 0.0453063, RATIO_NOVELTY: 0.4052645, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 849, 'alpha': 0.5623070715732953, 'beta': 1.4507734942125985, 'normalize_similarity': False} - results: PRECISION: 0.0040586, PRECISION_RECALL_MIN_DEN: 0.0048647, RECALL: 0.0037119, MAP: 0.0016627, MAP_MIN_DEN: 0.0019946, MRR: 0.0127316, NDCG: 0.0043738, F1: 0.0038776, HIT_RATE: 0.0313787, ARHR_ALL_HITS: 0.0144606, NOVELTY: 0.0065599, AVERAGE_POPULARITY: 0.0026197, DIVERSITY_MEAN_INTER_LIST: 0.9931102, DIVERSITY_HERFINDAHL: 0.9993086, COVERAGE_ITEM: 0.5548211, COVERAGE_ITEM_HIT: 0.0337047, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0311081, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.1308041, SHANNON_ENTROPY: 11.8371663, RATIO_DIVERSITY_HERFINDAHL: 0.9996163, RATIO_DIVERSITY_GINI: 0.2485183, RATIO_SHANNON_ENTROPY: 0.8731027, RATIO_AVERAGE_POPULARITY: 0.0540377, RATIO_NOVELTY: 0.4002797, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 335, 'alpha': 0.730967592607293, 'beta': 0.7525855336512095, 'normalize_similarity': True} - results: PRECISION: 0.0546644, PRECISION_RECALL_MIN_DEN: 0.0724575, RECALL: 0.0622544, MAP: 0.0267499, MAP_MIN_DEN: 0.0349468, MRR: 0.1660547, NDCG: 0.0717434, F1: 0.0582131, HIT_RATE: 0.3394233, ARHR_ALL_HITS: 0.2085105, NOVELTY: 0.0051424, AVERAGE_POPULARITY: 0.0879879, DIVERSITY_MEAN_INTER_LIST: 0.9831951, DIVERSITY_HERFINDAHL: 0.9983171, COVERAGE_ITEM: 0.8233566, COVERAGE_ITEM_HIT: 0.0747542, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.3364962, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.1690510, SHANNON_ENTROPY: 11.4518328, RATIO_DIVERSITY_HERFINDAHL: 0.9986245, RATIO_DIVERSITY_GINI: 0.3211847, RATIO_SHANNON_ENTROPY: 0.8446807, RATIO_AVERAGE_POPULARITY: 1.8149693, RATIO_NOVELTY: 0.3137868, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'alpha': 0.4480882305483733, 'beta': 0.019707804720551225, 'normalize_similarity': True} - results: PRECISION: 0.0303053, PRECISION_RECALL_MIN_DEN: 0.0391715, RECALL: 0.0326950, MAP: 0.0171516, MAP_MIN_DEN: 0.0225600, MRR: 0.1244716, NDCG: 0.0450960, F1: 0.0314548, HIT_RATE: 0.2125757, ARHR_ALL_HITS: 0.1452578, NOVELTY: 0.0055672, AVERAGE_POPULARITY: 0.0314010, DIVERSITY_MEAN_INTER_LIST: 0.9326194, DIVERSITY_HERFINDAHL: 0.9932597, COVERAGE_ITEM: 0.2376872, COVERAGE_ITEM_HIT: 0.0598196, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.2107425, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.0684754, SHANNON_ENTROPY: 10.1794963, RATIO_DIVERSITY_HERFINDAHL: 0.9935655, RATIO_DIVERSITY_GINI: 0.1300983, RATIO_SHANNON_ENTROPY: 0.7508339, RATIO_AVERAGE_POPULARITY: 0.6477237, RATIO_NOVELTY: 0.3397053, 
SearchBayesianSkopt: New best config found. Config 16: {'topK': 992, 'alpha': 0.9159069088294355, 'beta': 0.0, 'normalize_similarity': False} - results: PRECISION: 0.0583765, PRECISION_RECALL_MIN_DEN: 0.0800179, RECALL: 0.0696412, MAP: 0.0283780, MAP_MIN_DEN: 0.0382191, MRR: 0.1817218, NDCG: 0.0795194, F1: 0.0635133, HIT_RATE: 0.3725709, ARHR_ALL_HITS: 0.2249051, NOVELTY: 0.0039618, AVERAGE_POPULARITY: 0.2924983, DIVERSITY_MEAN_INTER_LIST: 0.8450055, DIVERSITY_HERFINDAHL: 0.9844985, COVERAGE_ITEM: 0.1355123, COVERAGE_ITEM_HIT: 0.0329294, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.3693579, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.0068456, SHANNON_ENTROPY: 7.2738129, RATIO_DIVERSITY_HERFINDAHL: 0.9848016, RATIO_DIVERSITY_GINI: 0.0130061, RATIO_SHANNON_ENTROPY: 0.5365123, RATIO_AVERAGE_POPULARITY: 6.0335072, RATIO_NOVELTY: 0.2417431, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 5, 'alpha': 0.019011904192213606, 'beta': 0.13861137878732713, 'normalize_similarity': False} - results: PRECISION: 0.0495711, PRECISION_RECALL_MIN_DEN: 0.0681861, RECALL: 0.0598694, MAP: 0.0220575, MAP_MIN_DEN: 0.0301413, MRR: 0.1514292, NDCG: 0.0660264, F1: 0.0542357, HIT_RATE: 0.3397383, ARHR_ALL_HITS: 0.1817019, NOVELTY: 0.0044324, AVERAGE_POPULARITY: 0.2074236, DIVERSITY_MEAN_INTER_LIST: 0.9182105, DIVERSITY_HERFINDAHL: 0.9918188, COVERAGE_ITEM: 0.4699066, COVERAGE_ITEM_HIT: 0.0399070, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.3368085, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.0532239, SHANNON_ENTROPY: 9.2497367, RATIO_DIVERSITY_HERFINDAHL: 0.9921242, RATIO_DIVERSITY_GINI: 0.1011216, RATIO_SHANNON_ENTROPY: 0.6822553, RATIO_AVERAGE_POPULARITY: 4.2786299, RATIO_NOVELTY: 0.2704637, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'alpha': 2.0, 'beta': 0.0, 'normalize_similarity': False} - results: PRECISION: 0.0006615, PRECISION_RECALL_MIN_DEN: 0.0009284, RECALL: 0.0007869, MAP: 0.0002705, MAP_MIN_DEN: 0.0003962, MRR: 0.0026995, NDCG: 0.0008098, F1: 0.0007188, HIT_RATE: 0.0065907, ARHR_ALL_HITS: 0.0027022, NOVELTY: 0.0060478, AVERAGE_POPULARITY: 0.0126698, DIVERSITY_MEAN_INTER_LIST: 0.9983535, DIVERSITY_HERFINDAHL: 0.9998329, COVERAGE_ITEM: 0.6844983, COVERAGE_ITEM_HIT: 0.0093851, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.0065339, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.3204712, SHANNON_ENTROPY: 13.3063821, RATIO_DIVERSITY_HERFINDAHL: 1.0001408, RATIO_DIVERSITY_GINI: 0.6088721, RATIO_SHANNON_ENTROPY: 0.9814712, RATIO_AVERAGE_POPULARITY: 0.2613462, RATIO_NOVELTY: 0.3690344, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 5, 'alpha': 0.9945496013617058, 'beta': 0.4161194894074406, 'normalize_similarity': True} - results: PRECISION: 0.0468670, PRECISION_RECALL_MIN_DEN: 0.0616681, RECALL: 0.0525189, MAP: 0.0245412, MAP_MIN_DEN: 0.0322609, MRR: 0.1659626, NDCG: 0.0663498, F1: 0.0495322, HIT_RATE: 0.3099346, ARHR_ALL_HITS: 0.2004461, NOVELTY: 0.0054230, AVERAGE_POPULARITY: 0.0665664, DIVERSITY_MEAN_INTER_LIST: 0.9922635, DIVERSITY_HERFINDAHL: 0.9992239, COVERAGE_ITEM: 0.5790182, COVERAGE_ITEM_HIT: 0.0727139, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.3072618, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.1668952, SHANNON_ENTROPY: 12.0478573, RATIO_DIVERSITY_HERFINDAHL: 0.9995316, RATIO_DIVERSITY_GINI: 0.3170888, RATIO_SHANNON_ENTROPY: 0.8886431, RATIO_AVERAGE_POPULARITY: 1.3730974, RATIO_NOVELTY: 0.3309063, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1000, 'alpha': 0.6055805476968356, 'beta': 0.0, 'normalize_similarity': False} - results: PRECISION: 0.0483087, PRECISION_RECALL_MIN_DEN: 0.0677057, RECALL: 0.0595005, MAP: 0.0221383, MAP_MIN_DEN: 0.0306574, MRR: 0.1525875, NDCG: 0.0661000, F1: 0.0533237, HIT_RATE: 0.3331233, ARHR_ALL_HITS: 0.1823485, NOVELTY: 0.0036806, AVERAGE_POPULARITY: 0.4094638, DIVERSITY_MEAN_INTER_LIST: 0.6083581, DIVERSITY_HERFINDAHL: 0.9608343, COVERAGE_ITEM: 0.0787122, COVERAGE_ITEM_HIT: 0.0179541, ITEMS_IN_GT: 0.9982454, COVERAGE_USER: 0.9913762, COVERAGE_USER_HIT: 0.3302505, USERS_IN_GT: 0.9913762, DIVERSITY_GINI: 0.0025914, SHANNON_ENTROPY: 5.7070065, RATIO_DIVERSITY_HERFINDAHL: 0.9611302, RATIO_DIVERSITY_GINI: 0.0049235, RATIO_SHANNON_ENTROPY: 0.4209456, RATIO_AVERAGE_POPULARITY: 8.4462138, RATIO_NOVELTY: 0.2245860, 
